Season,Team,Overall,Attack,Midfield,Defence,Players,StartingXI_AvgAge
2024/2025,Manchester City,85,84,85,83,32,25.91
2024/2025,Liverpool,84,83,84,84,29,27.00
2024/2025,Arsenal,83,81,85,80,25,24.45
2024/2025,Aston Villa,81,81,80,80,23,26.36
2024/2025,Chelsea,81,81,82,80,36,23.18
2024/2025,Newcastle United,81,81,82,79,29,26.55
2024/2025,Tottenham Hotspur,81,80,81,77,30,23.91
2024/2025,Manchester United,80,80,80,81,26,26.00
2024/2025,West Ham United,79,73,79,77,27,27.64
2024/2025,Nottingham Forest,78,80,77,79,29,25.18
2024/2025,Brighton & Hove Albion,78,77,77,78,31,24.09
2024/2025,Crystal Palace,77,78,77,78,32,26.09
2024/2025,Fulham FC,77,77,77,78,28,27.64
2024/2025,AFC Bournemouth,77,75,76,76,30,24.27
2024/2025,Everton,76,75,75,77,27,28.36
2024/2025,Wolverhampton Wanderers,76,77,76,76,32,26.27
2024/2025,Brentford,76,78,76,76,27,25.18
2024/2025,Ipswich Town,75,76,74,74,28,25.73
2024/2025,Leicester City,75,77,75,75,31,25.91
2024/2025,Southampton,74,74,73,73,33,25.18
2023/2024,Manchester City,85,86,87,84,28,26.82
2023/2024,Arsenal,83,83,85,82,33,24.91
2023/2024,Liverpool,83,84,80,83,33,26.27
2023/2024,Aston Villa,81,83,79,78,33,25.73
2023/2024,Manchester United,81,78,78,82,33,24.18
2023/2024,Tottenham Hotspur,81,81,81,80,31,24.55
2023/2024,Newcastle United,80,80,76,73,33,24.91
2023/2024,Chelsea,79,81,79,79,33,22.00
2023/2024,West Ham United,79,78,80,78,30,27.27
2023/2024,Crystal Palace,77,75,76,76,33,25.18
2023/2024,Brighton & Hove Albion,77,75,74,77,33,24.91
2023/2024,Wolverhampton Wanderers,77,78,77,76,31,26.18
2023/2024,Brentford,77,77,75,76,33,26.36
2023/2024,Fulham FC,77,72,77,76,31,26.55
2023/2024,Everton,76,77,76,76,31,28.18
2023/2024,Nottingham Forest,76,76,76,74,29,25.00
2023/2024,AFC Bournemouth,76,79,75,74,31,25.45
2023/2024,Burnley,74,72,74,73,32,23.36
2023/2024,Sheffield United,73,73,71,71,33,24.55
2023/2024,Luton Town,73,71,73,71,32,25.36
2022/2023,Manchester City,85,85,87,83,26,27.73
2022/2023,Liverpool,84,84,81,85,33,26.55
2022/2023,Arsenal,82,82,84,81,32,24.18
2022/2023,Chelsea,82,82,81,82,33,25.18
2022/2023,Manchester United,82,81,84,81,33,26.91
2022/2023,Tottenham Hotspur,81,84,80,79,28,26.36
2022/2023,Newcastle United,80,79,80,80,33,26.91
2022/2023,Aston Villa,79,79,78,79,32,26.55
2022/2023,West Ham United,78,78,79,78,32,28.73
2022/2023,Leicester City,78,77,80,76,33,24.45
2022/2023,Wolverhampton Wanderers,78,77,78,76,33,26.82
2022/2023,Nottingham Forest,77,75,76,77,33,26.09
2022/2023,Brighton & Hove Albion,77,75,77,78,28,27.18
2022/2023,Everton,76,77,76,76,28,26.73
2022/2023,Crystal Palace,76,76,76,76,31,25.82
2022/2023,Fulham FC,76,79,76,75,31,27.45
2022/2023,Leeds United,75,75,76,74,30,27.00
2022/2023,Southampton,75,76,74,75,29,23.91
2022/2023,Brentford,75,74,75,76,30,24.64
2022/2023,AFC Bournemouth,74,75,73,73,29,25.64
2021/2022,Liverpool,85,86,84,85,33,27.73
2021/2022,Manchester City,85,84,87,86,32,26.09
2021/2022,Chelsea,84,84,85,83,33,27.36
2021/2022,Manchester United,83,82,83,81,33,26.18
2021/2022,Tottenham Hotspur,81,83,81,78,33,25.45
2021/2022,Arsenal,80,77,80,77,33,22.82
2021/2022,Leicester City,80,80,80,78,31,24.09
2021/2022,West Ham United,79,80,79,77,33,27.82
2021/2022,Aston Villa,78,79,78,79,33,25.45
2021/2022,Everton,78,78,78,77,33,25.73
2021/2022,Wolverhampton Wanderers,78,78,80,78,33,27.73
2021/2022,Newcastle United,77,78,77,77,33,27.00
2021/2022,Burnley,76,77,75,76,33,26.36
2021/2022,Crystal Palace,76,77,76,75,33,26.45
2021/2022,Leeds United,76,77,77,75,32,26.00
2021/2022,Brighton & Hove Albion,76,75,73,77,33,24.82
2021/2022,Southampton,76,75,76,76,32,25.45
2021/2022,Watford,74,74,75,74,33,28.45
2021/2022,Brentford,74,74,75,74,33,25.27
2021/2022,Norwich City,73,75,73,73,33,25.55
