match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,A,H,0.01848134726691319,"[1.63, 4.38, 5.3]",0.9815186527330868
1,H,A,0.019146598728216967,"[8.18, 5.84, 1.34]",0.9627259089449463
2,A,H,0.014109656315081901,"[1.16, 8.56, 16.22]",0.9491421772441082
3,A,A,0.04983581286646011,"[2.73, 3.36, 2.71]",1.0300273522423593
4,A,H,0.0240627487375943,"[1.35, 5.7, 8.25]",1.0052420628725018
5,A,D,0.04415814437770695,"[2.47, 3.42, 2.97]",0.960852438725634
6,A,A,0.01505096871701498,"[2.49, 3.65, 2.8]",0.9868836067201028
7,A,H,0.03942139741391112,"[2.5, 3.4, 2.95]",0.9479792758583157
8,A,A,0.05553050456456763,"[4.19, 3.93, 1.84]",0.9921983605626548
9,H,D,0.025744363982313005,"[5.09, 4.39, 1.63]",0.9666548448256754
10,A,H,0.03844903062965244,"[2.51, 3.66, 2.76]",0.9294879030886711
11,A,A,0.023792626500877934,"[2.17, 3.68, 3.33]",0.9810157564292572
12,A,H,0.044388516418519826,"[1.84, 3.67, 4.56]",0.9374699224181705
13,A,H,0.008512470119982764,"[1.08, 13.21, 25.71]",0.9294897377152033
14,H,A,0.05442342129059581,"[2.59, 3.28, 2.92]",0.8789037261342433
15,A,H,0.018089329593541436,"[1.45, 4.87, 7.03]",0.8630049469512092
16,D,A,0.0005883663266566541,"[4.55, 3.98, 1.77]",0.862497183900685
17,A,D,0.0189176752444422,"[3.05, 3.73, 2.28]",0.8461807422764058
18,H,A,0.018647523614891755,"[4.46, 4.03, 1.78]",0.8304015669023399
19,A,H,0.021365989154239626,"[1.25, 7.05, 10.11]",0.8126592160302409
20,A,D,0.025740999918236068,"[1.34, 5.87, 8.1]",0.7917405552168527
21,A,H,0.03692039674303199,"[1.79, 3.9, 4.51]",0.762509179800698
22,A,A,0.03079502894138933,"[2.82, 3.38, 2.62]",0.8005491972619588
23,H,D,0.015182734507947843,"[3.14, 3.53, 2.32]",0.7883946713393798
24,H,A,0.026566420207943833,"[4.8, 4.09, 1.71]",0.7674498472108741
25,A,D,0.04992922377927128,"[2.02, 3.7, 3.71]",0.7291316720501149
26,H,A,0.008748759986893806,"[7.69, 5.64, 1.37]",0.7227526740525059
27,A,D,0.042865692042480925,"[1.63, 4.4, 5.06]",0.6917713805036916
28,A,H,0.06521782428714312,"[2.5, 3.96, 2.62]",0.6466555561631274
29,D,A,0.012696570310880036,"[3.93, 4.31, 1.82]",0.638445248427381
30,H,A,0.03050356157242306,"[4.5, 4.13, 1.74]",0.6189703944813555
31,A,D,0.024021922672935993,"[1.38, 5.13, 8.05]",0.6041015355282877
