match_index,strategy,bet_fractions,true_outcome,odds,wealth
0,complete,"[0.0, 0.012108643415269828, 0.011746899150034061]",H,"[1.63, 4.38, 5.3]",0.9761444574346961
1,complete,"[0.026523798370058336, 0.0, 0.0]",A,"[8.18, 5.84, 1.34]",0.9502533986656483
2,complete,"[0.0, 0.0, 0.013004299534717673]",H,"[1.16, 8.56, 16.22]",0.9378960188355167
3,complete,"[0.0011233592110875207, 0.008213084079836338, 0.0]",A,"[2.73, 3.36, 2.71]",0.9291394058428756
4,complete,"[0.0, 0.0, 0.024044974221455764]",H,"[1.35, 5.7, 8.25]",0.9067982727812449
5,complete,"[0.0, 0.001954033518562311, 0.015723703203359567]",D,"[2.47, 3.42, 2.97]",0.8968280782861189
6,complete,"[0.0, 0.0026442699036138516, 0.0]",A,"[2.49, 3.65, 2.8]",0.894456622789991
7,complete,"[0.0, 0.00869376402275235, 0.0013042996754495041]",H,"[2.5, 3.4, 2.95]",0.8855137885000581
8,complete,"[0.0, 0.00672598643496884, 0.0]",A,"[4.19, 3.93, 1.84]",0.8795578347706289
9,complete,"[0.02236865346813248, 0.0, 0.0]",D,"[5.09, 4.39, 1.63]",0.8598833103594637
10,complete,"[0.0, 0.02382685144472947, 0.0]",H,"[2.51, 3.66, 2.76]",0.8393949984637266
11,complete,"[0.0, 0.01671275826223016, 0.01024721516174434]",A,"[2.17, 3.68, 3.33]",0.8454077972589105
12,complete,"[0.0, 0.010619583193715603, 0.02070598373299352]",H,"[1.84, 3.67, 4.56]",0.8189249187255147
13,complete,"[0.0, 0.0, 0.008507214008248018]",H,"[1.08, 13.21, 25.71]",0.8119581491852296
14,complete,"[0.05260605130471547, 0.0, 0.0]",A,"[2.59, 3.28, 2.92]",0.7692442371319095
15,complete,"[0.0, 0.006377777648367175, 0.016051273312465888]",H,"[1.45, 4.87, 7.03]",0.7519908189359508
16,complete,"[0.016830121884126817, 0.006334246582419817, 0.0]",A,"[4.55, 3.98, 1.77]",0.7345714265226582
17,complete,"[0.0, 0.008005326065338015, 0.0]",D,"[3.05, 3.73, 2.28]",0.7506251472627907
18,complete,"[0.035804946714922244, 0.0, 0.0]",A,"[4.46, 4.03, 1.78]",0.7237490538621658
19,complete,"[0.0, 0.0, 0.01869598731453801]",H,"[1.25, 7.05, 10.11]",0.7102178507322499
20,complete,"[0.0, 0.012582395813364861, 0.010938569411073141]",D,"[1.34, 5.87, 8.1]",0.7459685825586722
21,complete,"[0.0, 0.0, 0.03201372030932747]",H,"[1.79, 3.9, 4.51]",0.7220873529970934
22,complete,"[0.009888739082458542, 0.004566903044314286, 0.0]",A,"[2.82, 3.38, 2.62]",0.7116491166378986
23,complete,"[0.0062227916189571035, 0.01882243175320468, 0.0]",D,"[3.14, 3.53, 2.32]",0.7411099388125136
24,complete,"[0.014137093043118193, 0.007384813902659756, 0.0]",A,"[4.8, 4.09, 1.71]",0.7251598396727995
25,complete,"[0.0, 0.0019119089251166028, 0.027997304334740198]",D,"[2.02, 3.7, 3.71]",0.7086007057880864
26,complete,"[0.022600781428046973, 0.0, 0.0]",A,"[7.69, 5.64, 1.37]",0.69258577611681
27,complete,"[0.0, 0.015081504090903275, 0.01482934810856741]",D,"[1.63, 4.4, 5.06]",0.7178289802814757
28,complete,"[0.0, 0.0, 0.01783764604017407]",H,"[2.5, 3.96, 2.62]",0.7050246010138356
