match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,D,H,0.004843457366107931,"[1.63, 4.38, 5.3]",0.9951565426338921
1,H,A,0.010609519348023335,"[8.18, 5.84, 1.34]",0.9845984100405057
2,A,H,0.005201719813887069,"[1.16, 8.56, 16.22]",0.9794768049822763
3,D,A,0.0032852336319345353,"[2.73, 3.36, 2.71]",0.9762589948408487
4,A,H,0.009617989688582306,"[1.35, 5.7, 8.25]",0.9668693458950837
5,A,D,0.006289481281343827,"[2.47, 3.42, 2.97]",0.9607882392425713
6,D,A,0.0010577079614455408,"[2.49, 3.65, 2.8]",0.9597720058726612
7,D,H,0.0034775056091009404,"[2.5, 3.4, 2.95]",0.9564343933387809
8,D,A,0.0026903945739875364,"[4.19, 3.93, 1.84]",0.9538612074365671
9,H,D,0.008947461387252992,"[5.09, 4.39, 1.63]",0.9453265711142299
10,D,H,0.00953074057789179,"[2.51, 3.66, 2.76]",0.9363169088035521
11,D,A,0.006685103304892064,"[2.17, 3.68, 3.33]",0.9300575335420832
12,A,H,0.008282393493197409,"[1.84, 3.67, 4.56]",0.9223544310779751
13,A,H,0.003402885603299207,"[1.08, 13.21, 25.71]",0.9192157644633207
14,H,A,0.02104242052188619,"[2.59, 3.28, 2.92]",0.8998732397971364
15,A,H,0.006420509324986355,"[1.45, 4.87, 7.03]",0.8940955952697132
16,H,A,0.006732048753650727,"[4.55, 3.98, 1.77]",0.8880765001319331
17,D,D,0.003202130426135206,"[3.05, 3.73, 2.28]",0.8958399015462694
18,H,A,0.014321978685968899,"[4.46, 4.03, 1.78]",0.8830097015702832
19,A,H,0.007478394925815205,"[1.25, 7.05, 10.11]",0.8764062062986144
20,D,D,0.005032958325345945,"[1.34, 5.87, 8.1]",0.8978873667918831
21,A,H,0.012805488123730988,"[1.79, 3.9, 4.51]",0.8863894807799816
22,H,A,0.003955495632983417,"[2.82, 3.38, 2.62]",0.882883371059634
23,D,D,0.007528972701281872,"[3.14, 3.53, 2.32]",0.8997007992014171
24,H,A,0.005654837217247278,"[4.8, 4.09, 1.71]",0.8946131376377059
25,A,D,0.01119892173389608,"[2.02, 3.7, 3.71]",0.884594435127186
26,H,A,0.00904031257121879,"[7.69, 5.64, 1.37]",0.8765974249348755
27,D,D,0.00603260163636131,"[1.63, 4.4, 5.06]",0.8945771793391891
28,A,H,0.007135058416069629,"[2.5, 3.96, 2.62]",0.8881943189069212
29,H,A,0.01479317974142124,"[3.93, 4.31, 1.82]",0.875055100702022
30,H,A,0.008694205586872405,"[4.5, 4.13, 1.74]",0.8674471917566773
31,D,D,0.007891114520631853,"[1.38, 5.13, 8.05]",0.8957175585466848
32,A,D,0.005378430088684817,"[1.62, 4.13, 5.48]",0.890900004278834
33,D,D,0.006433409881375027,"[2.4, 3.53, 2.97]",0.9054007622526705
34,A,A,0.004748739583969067,"[1.21, 7.23, 12.71]",0.9557480529141219
35,A,H,0.004597380913135043,"[1.17, 8.43, 14.62]",0.9513541150578886
36,D,H,0.0064203559507902035,"[1.51, 4.45, 6.48]",0.945246083003968
37,H,A,0.0028669350793315103,"[3.32, 3.97, 2.06]",0.9425361238500032
38,H,A,0.008532584055602406,"[3.03, 3.62, 2.32]",0.9344938551478114
39,H,A,0.009789277181382717,"[3.41, 3.71, 2.1]",0.9253458357754706
40,H,A,0.016554706299038675,"[3.59, 3.93, 1.99]",0.9100270072391692
41,A,H,0.009517450779913339,"[1.59, 4.47, 5.44]",0.9013658699893785
42,D,H,0.005149403534366586,"[2.89, 3.54, 2.47]",0.8967243733926978
43,D,D,0.004768634975506443,"[2.54, 3.43, 2.88]",0.9071154208338472
44,A,H,0.005231090006400304,"[1.28, 6.36, 9.45]",0.9023702184212716
45,D,D,0.00437520912715367,"[2.27, 3.5, 3.24]",0.9122403644605426
46,A,H,0.007877436644233553,"[1.55, 4.77, 5.48]",0.9050542487851921
47,D,D,0.003830101542034673,"[2.92, 3.76, 2.35]",0.9146216498851484
48,A,D,0.004141565830157625,"[1.79, 3.91, 4.51]",0.9108336841124616
49,A,D,0.005489788947078943,"[1.85, 3.66, 4.54]",0.9058333994207938
50,H,D,0.005794869388055591,"[5.18, 4.54, 1.6]",0.9005842131838119
51,A,H,0.0061050733798705134,"[1.18, 8.27, 14.09]",0.8950860804775718
52,A,D,0.010286554753376798,"[2.23, 3.63, 3.22]",0.8858787285017538
53,D,H,0.00581299691573258,"[1.75, 4.3, 4.32]",0.88072911818526
54,D,H,0.009865351993721908,"[2.76, 3.35, 2.69]",0.8720404154232421
55,D,A,0.003161620956934186,"[2.49, 3.32, 3.03]",0.8692833541705464
56,H,A,0.010847103353586948,"[8.09, 5.63, 1.36]",0.8598541477843057
57,H,D,0.005043214180601161,"[4.34, 3.77, 1.85]",0.8555177191529512
58,A,A,0.007304514073706293,"[2.42, 3.9, 2.75]",0.8664537162877024
59,A,H,0.009814349629066185,"[1.65, 4.37, 5.01]",0.8579500365786512
60,H,A,0.009733046651938165,"[6.38, 4.71, 1.5]",0.8495995688475991
61,A,H,0.004975269801951166,"[1.13, 9.46, 19.13]",0.8453725817689609
62,A,H,0.010512757803527535,"[2.14, 3.62, 3.44]",0.836485384563081
63,H,H,0.011103431774949832,"[3.35, 3.63, 2.17]",0.8583118517989423
64,D,H,0.003892355065787928,"[1.23, 7.15, 10.66]",0.8549709973145669
65,A,H,0.007450143145259463,"[1.81, 4.02, 4.29]",0.8486013409995281
66,D,D,0.0031922136953537288,"[3.18, 3.59, 2.27]",0.8556174355701509
67,D,D,0.009127043405026639,"[2.22, 3.87, 3.09]",0.8780300045163588
68,D,D,0.005536868355739313,"[1.5, 4.81, 6.2]",0.8965524587619387
69,D,H,0.0012692818272866326,"[2.95, 3.99, 2.25]",0.895414481018823
70,A,H,0.008688714383065111,"[1.5, 5.01, 5.88]",0.88763448033879
71,D,A,0.004919693980898177,"[2.46, 3.5, 2.94]",0.8832675903286296
72,D,A,0.010016387337824442,"[2.4, 3.43, 3.07]",0.8744204400209512
73,A,H,0.007682003986541359,"[1.72, 4.37, 4.43]",0.867703138714797
74,A,A,0.004473534663452426,"[2.01, 3.91, 3.55]",0.8776014738897961
