match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
0,A,H,0.010607835328751564,"[1.63, 4.38, 5.3]",0.9893921646712485
1,H,A,0.013152876436174922,"[8.18, 5.84, 1.34]",0.9763788117824079
2,A,H,0.007200192491222044,"[1.16, 8.56, 16.22]",0.969348696393224
3,D,A,0.010509147813139278,"[2.73, 3.36, 2.71]",0.9591616676603537
4,A,H,0.013061650992685475,"[1.35, 5.7, 8.25]",0.946633432711812
5,D,D,0.010787989892186876,"[2.47, 3.42, 2.97]",0.9713471307187688
6,D,H,0.010698724574610298,"[2.5, 3.4, 2.95]",0.9609549553008707
7,H,A,0.013309442368472415,"[4.19, 3.93, 1.84]",0.9481651807045958
8,D,A,0.012882175691556343,"[2.17, 3.68, 3.33]",0.9359507502621429
9,D,H,0.01164286881483004,"[1.84, 3.67, 4.56]",0.925053598459699
10,A,H,0.004665162166624875,"[1.08, 13.21, 25.71]",0.9207380734100646
11,A,A,0.02051227168949772,"[2.59, 3.28, 2.92]",0.9570000180820364
12,H,D,0.00983208739628843,"[3.05, 3.73, 2.28]",0.9475907102660043
13,D,D,0.012293547359886215,"[1.34, 5.87, 8.1]",1.0043225639725435
14,A,H,0.019819836893007627,"[1.79, 3.9, 4.51]",0.9844170545666405
15,D,A,0.010605820883340538,"[2.82, 3.38, 2.62]",0.9739765036114011
16,D,D,0.01250493427550362,"[3.14, 3.53, 2.32]",1.004790669385171
17,H,A,0.010405566420219375,"[7.69, 5.64, 1.37]",0.9943352533364668
18,D,D,0.01246710850752611,"[1.63, 4.4, 5.06]",1.036483304023561
19,A,H,0.018259353501083785,"[2.5, 3.96, 2.62]",1.0175577889774237
20,H,A,0.013143263046069125,"[3.93, 4.31, 1.82]",1.0041837592923168
21,D,D,0.013008733654305344,"[1.38, 5.13, 8.05]",1.0581346062291677
22,D,D,0.01235580290493255,"[1.62, 4.13, 5.48]",1.099056547496925
23,A,A,0.007041284435774582,"[1.21, 7.23, 12.71]",1.1896775414090814
24,A,H,0.007922183318568695,"[1.17, 8.43, 14.62]",1.1802526978360546
25,D,H,0.01247147114865847,"[1.51, 4.45, 6.48]",1.1655332103668659
26,H,A,0.01156111528356391,"[3.32, 3.97, 2.06]",1.152058346554992
27,H,A,0.011954028749353961,"[3.41, 3.71, 2.1]",1.1382866079593406
28,H,A,0.012542513231192601,"[3.59, 3.93, 1.99]",1.124009633118121
29,A,H,0.012650249982928876,"[1.59, 4.47, 5.44]",1.1097906302759566
30,D,H,0.011253890479219262,"[2.89, 3.54, 2.47]",1.0973011680679674
31,D,D,0.010831297682171734,"[2.54, 3.43, 2.88]",1.126182193371931
32,A,H,0.008954788854688632,"[1.28, 6.36, 9.45]",1.1160974696183752
33,A,H,0.014833699291760375,"[1.55, 4.77, 5.48]",1.0995416153737616
34,D,D,0.011853981536827153,"[2.92, 3.76, 2.35]",1.1355153063547754
35,D,D,0.012119495470082266,"[1.79, 3.91, 4.51]",1.1755623556544608
36,A,D,0.013292913271748927,"[1.85, 3.66, 4.54]",1.159935707215213
37,H,D,0.012885273687702661,"[5.18, 4.54, 1.6]",1.144989618167606
38,A,H,0.00819380594356589,"[1.18, 8.27, 14.09]",1.135607795428943
39,A,D,0.011028486812770431,"[2.23, 3.63, 3.22]",1.1230837598325756
40,D,H,0.013430145023741128,"[1.75, 4.3, 4.32]",1.1080005820642156
41,D,H,0.011843467144861645,"[2.76, 3.35, 2.69]",1.0948780135740506
