match_index,bet_outcome,true_outcome,bet_fraction,odds,wealth
1,H,A,0.012743507502101434,"[8.18, 5.84, 1.34]",0.9872564924978986
2,A,H,0.00565655653105793,"[1.16, 8.56, 16.22]",0.9816720203374303
4,A,H,0.010402884073516543,"[1.35, 5.7, 8.25]",0.9714598001116452
6,H,A,0.000637412161194887,"[2.49, 3.65, 2.8]",0.9708405798209422
9,H,D,0.016627441907479765,"[5.09, 4.39, 1.63]",0.9546979844785455
11,D,A,0.01097658406133237,"[2.17, 3.68, 3.33]",0.9442186617987322
13,A,H,0.0037143673744881767,"[1.08, 13.21, 25.71]",0.940711486806964
16,D,A,0.011589918638022691,"[4.55, 3.98, 1.77]",0.9298087172130179
18,H,A,0.017649809045777905,"[4.46, 4.03, 1.78]",0.9133977709051084
19,A,H,0.010026721546792544,"[1.25, 7.05, 10.11]",0.9042393857947819
21,A,H,0.017276083439538282,"[1.79, 3.9, 4.51]",0.8886176707164745
24,D,A,0.01172405615421951,"[4.8, 4.09, 1.71]",0.8781994672453627
26,H,A,0.012647593128805174,"[7.69, 5.64, 1.37]",0.8670923576977099
27,A,D,0.009465695323144055,"[1.63, 4.4, 5.06]",0.8588847256227168
28,H,H,0.01141476730505625,"[2.5, 3.96, 2.62]",0.8735906795499925
30,H,A,0.017590455829151093,"[4.5, 4.13, 1.74]",0.8582238212886103
32,A,D,0.009423526714345182,"[1.62, 4.13, 5.48]",0.8501363261818097
33,D,D,0.010486362904357279,"[2.4, 3.53, 2.97]",0.8726908664091441
34,A,A,0.006988583189758937,"[1.21, 7.23, 12.71]",0.944108665946797
35,A,H,0.006893542594955129,"[1.17, 8.43, 14.62]",0.9376004126438265
36,D,H,0.011933986264396386,"[1.51, 4.45, 6.48]",0.9264111021978427
37,H,A,0.011228511089054339,"[3.32, 3.97, 2.06]",0.9160088848637912
38,H,A,0.009282315133399346,"[3.03, 3.62, 2.32]",0.9075062017294917
40,H,A,0.018333694188891057,"[3.59, 3.93, 1.99]",0.8908682605524612
42,H,H,0.007855111235166402,"[2.89, 3.54, 2.47]",0.9040942334964217
43,D,D,0.010068201858836674,"[2.54, 3.43, 2.88]",0.9262135593750945
44,A,H,0.00888175553032849,"[1.28, 6.36, 9.45]",0.9179871569718496
47,H,D,0.008195266765478541,"[2.92, 3.76, 2.35]",0.9104640073331821
48,D,D,0.011482271122761237,"[1.79, 3.91, 4.51]",0.9408857135601535
50,H,D,0.015507432448932474,"[5.18, 4.54, 1.6]",0.9262949919149538
51,A,H,0.00751171468140566,"[1.18, 8.27, 14.09]",0.9193369282248737
52,A,D,0.01075049960968791,"[2.23, 3.63, 3.22]",0.9094535969368205
54,D,H,0.009670281796350903,"[2.76, 3.35, 2.69]",0.9006589243737365
55,A,A,0.002625412222358762,"[2.49, 3.32, 3.03]",0.905459064298638
56,H,A,0.01427332733675646,"[8.09, 5.63, 1.36]",0.8925351506838703
58,H,A,0.009729835094096787,"[2.42, 3.9, 2.75]",0.8838509308520315
61,A,H,0.005681353918878009,"[1.13, 9.46, 19.13]",0.8788294609023313
62,A,H,0.011816164787561893,"[2.14, 3.62, 3.44]",0.8684450671721452
63,H,H,0.011372121223081445,"[3.35, 3.63, 2.17]",0.8916538142338968
65,D,H,0.011643368598244452,"[1.81, 4.02, 4.29]",0.8812719602127409
