Season,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
2024/2025,Liverpool,25,18,6,1,60,24,60,"63.67+3.67","25.68+1.68","57.39-2.61"
2024/2025,Arsenal,25,15,8,2,51,22,53,"51.34+0.34","23.88+1.88","51.12-1.88"
2024/2025,Nottingham Forest,25,14,5,6,41,29,47,"38.78-2.22","34.49+5.49","37.21-9.79"
2024/2025,Manchester City,25,13,5,7,52,35,44,"50.33-1.67","38.91+3.91","41.40-2.60"
2024/2025,Bournemouth,25,12,7,6,44,29,43,"52.83+8.83","35.79+6.79","46.17+3.17"
2024/2025,Chelsea,25,12,7,6,47,34,43,"51.93+4.93","39.31+5.31","40.97-2.03"
2024/2025,Newcastle United,25,12,5,8,42,33,41,"43.16+1.16","37.57+4.57","37.74-3.26"
2024/2025,Fulham,25,10,9,6,38,33,39,"42.30+4.30","28.73-4.27","44.02+5.02"
2024/2025,Aston Villa,25,10,8,7,35,38,38,"44.51+9.51","36.34-1.66","39.95+1.95"
2024/2025,Brighton,25,9,10,6,38,38,37,"38.06+0.06","39.41+1.41","35.66-1.34"
2024/2025,Brentford,25,10,4,11,43,42,34,"44.24+1.24","44.36+2.36","32.97-1.03"
2024/2025,Tottenham,25,9,3,13,49,37,30,"47.11-1.89","44.10+7.10","35.29+5.29"
2024/2025,Crystal Palace,25,7,9,9,29,32,30,"41.79+12.79","40.08+8.08","35.99+5.99"
2024/2025,Everton,25,7,9,9,27,31,30,"29.83+2.83","40.01+9.01","27.27-2.73"
2024/2025,Manchester United,25,8,5,12,28,35,29,"38.73+10.73","42.43+7.43","33.92+4.92"
2024/2025,West Ham,25,7,6,12,29,47,27,"35.06+6.06","50.71+3.71","25.27-1.73"
2024/2025,Wolverhampton Wanderers,25,5,4,16,35,54,19,"28.19-6.81","44.51-9.49","24.55+5.55"
2024/2025,Ipswich,25,3,8,14,23,50,17,"27.74+4.74","57.77+7.77","17.98+0.98"
2024/2025,Leicester,25,4,5,16,25,55,17,"28.12+3.12","56.51+1.51","19.03+2.03"
2024/2025,Southampton,25,2,3,20,19,57,9,"29.76+10.76","66.87+9.87","15.57+6.57"
2023/2024,Manchester City,38,28,7,3,96,34,91,"89.55-6.45","37.27+3.27","83.07-7.93"
2023/2024,Arsenal,38,28,5,5,91,29,89,"84.39-6.61","31.78+2.78","81.94-7.06"
2023/2024,Liverpool,38,24,10,4,86,41,82,"94.79+8.79","47.40+6.40","76.88-5.12"
2023/2024,Aston Villa,38,20,8,10,76,61,68,"67.42-8.58","65.08+4.08","55.43-12.57"
2023/2024,Tottenham,38,20,6,12,74,61,66,"73.35-0.65","68.07+7.07","57.42-8.58"
2023/2024,Chelsea,38,18,9,11,77,63,63,"80.88+3.88","62.60-0.40","64.20+1.20"
2023/2024,Newcastle United,38,18,6,14,85,62,60,"84.48-0.52","62.46+0.46","65.59+5.59"
2023/2024,Manchester United,38,18,6,14,57,58,60,"60.33+3.33","74.76+16.76","44.42-15.58"
2023/2024,West Ham,38,14,10,14,60,74,52,"54.53-5.47","77.91+3.91","41.28-10.72"
2023/2024,Crystal Palace,38,13,10,15,57,58,49,"53.94-3.06","57.99-0.01","50.46+1.46"
2023/2024,Brighton,38,12,12,14,55,62,48,"61.91+6.91","60.94-1.06","54.43+6.43"
2023/2024,Everton,38,13,9,16,40,51,48,"60.75+20.75","60.26+9.26","53.10+5.10"
2023/2024,Bournemouth,38,13,9,16,54,67,48,"63.76+9.76","65.51-1.49","53.47+5.47"
2023/2024,Fulham,38,13,8,17,55,61,47,"52.81-2.19","66.90+5.90","44.99-2.01"
2023/2024,Wolverhampton Wanderers,38,13,7,18,50,65,46,"50.65+0.65","76.11+11.11","39.79-6.21"
2023/2024,Brentford,38,10,9,19,56,65,39,"64.29+8.29","60.26-4.74","52.94+13.94"
2023/2024,Nottingham Forest,38,9,9,20,49,67,36,"52.16+3.16","56.25-10.75","50.17+14.17"
2023/2024,Luton,38,6,8,24,52,85,26,"49.87-2.13","91.65+6.65","32.33+6.33"
2023/2024,Burnley,38,5,9,24,41,78,24,"43.44+2.44","75.72-2.28","33.69+9.69"
2023/2024,Sheffield United,38,3,7,28,35,104,16,"41.31+6.31","85.71-18.29","28.53+12.53"
2022/2023,Manchester City,38,28,5,5,94,33,89,"84.32-9.68","34.21+1.21","83.04-5.96"
2022/2023,Arsenal,38,26,6,6,88,43,84,"76.51-11.49","45.16+2.16","72.53-11.47"
2022/2023,Manchester United,38,23,6,9,58,43,75,"71.90+13.90","50.29+7.29","66.40-8.60"
2022/2023,Newcastle United,38,19,14,5,68,33,71,"76.98+8.98","41.86+8.86","71.67+0.67"
2022/2023,Liverpool,38,19,10,9,75,47,67,"80.77+5.77","55.77+8.77","67.37+0.37"
2022/2023,Brighton,38,18,8,12,72,53,62,"77.72+5.72","50.15-2.85","70.86+8.86"
2022/2023,Aston Villa,38,18,7,13,51,46,61,"50.00-1.00","53.96+7.96","54.37-6.63"
2022/2023,Tottenham,38,18,6,14,70,63,60,"57.83-12.17","51.66-11.34","57.60-2.40"
2022/2023,Brentford,38,15,14,9,58,46,59,"59.23+1.23","51.45+5.45","58.26-0.74"
2022/2023,Fulham,38,15,7,16,55,53,52,"47.98-7.02","71.49+18.49","39.24-12.76"
2022/2023,Crystal Palace,38,11,15,12,50,46,48,"48.84-1.16","41.33-4.67","58.15+10.15"
2022/2023,Chelsea,38,11,11,16,38,47,44,"51.89+13.89","54.02+7.02","52.28+8.28"
2022/2023,Wolverhampton Wanderers,38,11,8,19,31,58,41,"35.13+4.13","62.68+4.68","35.01-5.99"
2022/2023,West Ham,38,11,7,20,42,55,40,"51.21+9.21","55.31+0.31","51.62+11.62"
